Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,total_runs
402,SN Khan,27-Oct-97,Right_Hand,Legbreak,India,0,8987
403,MJ McClenaghan,11-Jun-86,Left_Hand,Left-arm fast-medium,New Zealand,0,5426
404,DJ Muthuswami,09-Mar-81,Right_Hand,Right-arm medium,India,0,5386
405,PJ Cummins,08-May-93,Right_Hand,Right-arm fast,Australia,0,4902
406,SN Thakur,16-Oct-91,Right_Hand,Right-arm medium,India,0,4717
407,JC Buttler,08-Sep-90,Right_Hand,NULL,England,0,4601
408,CR Brathwaite,18-Jul-88,Right_Hand,Right-arm fast-medium,West Indies,0,4525
409,MP Stoinis,16-Aug-89,Right_Hand,Right-arm medium,Australia,0,4450
410,Ishan Kishan,18-Jul-98,Left_Hand,NULL,India,0,4420
411,C Munro,11-Mar-87,Left_Hand,Right-arm medium-fast,New Zealand,0,4414
412,P Sahu,21-Aug-85,Right_Hand,Legbreak googly,India,0,4219
413,KH Pandya,24-Mar-91,Left_Hand,Slow left-arm orthodox,India,0,3834
414,AD Nath,10-May-93,Right_Hand,Right-arm medium-fast,India,0,3669
415,MJ Guptill,30-Sep-86,Right_Hand,Right-arm offbreak,New Zealand,0,3590
416,KJ Abbott,18-Jun-87,Right_Hand,Right-arm fast-medium,South Africa,0,3313
417,TM Head,29-Dec-93,Left_Hand,Right-arm offbreak,Australia,0,3222
418,M Ashwin,08-Sep-90,Right_Hand,Legbreak googly,India,0,2886
419,NS Naik,09-Nov-94,Right_Hand,NULL,India,0,2864
420,RR Pant,04-Oct-97,Left_Hand,NULL,India,0,2855
421,SW Billings,15-Jun-91,Right_Hand,NULL,England,0,2772
422,KC Cariappa,13-Apr-94,Right_Hand,Legbreak,India,0,2755
423,PSP Handscomb,26-Apr-91,Right_Hand,NULL,Australia,0,2728
424,Swapnil Singh,22-Jan-91,Right_Hand,Slow left-arm orthodox,India,0,2589
425,J Yadav,22-Jan-90,Right_Hand,Right-arm offbreak,India,0,2489
426,UT Khawaja,18-Dec-86,Left_Hand,Right-arm medium,Australia,0,2427
427,HM Amla,31-Mar-83,Right_Hand,Right-arm offbreak,South Africa,0,2385
428,F Behardien,09-Oct-83,Right_Hand,Right-arm fast-medium,South Africa,0,2334
429,BB Sran,10-Dec-92,Left_Hand,Left-arm medium,India,0,2215
430,A Zampa,31-Mar-92,Right_Hand,Legbreak googly,Australia,0,2174
431,N Rana,27-Dec-93,Left_Hand,Right-arm offbreak,India,0,2069
432,S Kaushik,07-Sep-95,Right_Hand,Slow left-arm chinaman,India,0,2038
433,ER Dwivedi,22-Jul-88,Right_Hand,NULL,India,0,2031
434,CJ Jordan,04-Oct-88,Right_Hand,Right-arm fast-medium,England,0,1988
435,P Amarnath,01-Jun-82,Right_Hand,Right-arm medium,India,0,1977
436,B Geeves,13-Jun-82,Right_Hand,Right-arm fast-medium,Australia,0,1931
437,Gagandeep Singh,03-Oct-81,Right_Hand,Right-arm medium-fast,India,0,1861
438,A Nel,15-Jul-77,Right_Hand,Right-arm fast-medium,South Africa,0,1858
439,AM Salvi,20-Oct-81,Right_Hand,Right-arm medium,India,0,1808
440,RR Bose,27-Feb-79,Right_Hand,Right-arm fast-medium,India,0,1767
441,SS Sarkar,15-Dec-84,Right_Hand,Right-arm medium,India,0,1767
442,RA Shaikh,12-Jun-85,Left_Hand,Left-arm medium,India,0,1741
443,C Ganapathy,10-Jun-81,Right_Hand,Right-arm medium,India,0,1696
444,MB Parmar,12-Apr-88,Right_Hand,Right-arm offbreak,India,0,1695
445,AA Kazi,29-Sep-89,Left_Hand,Slow left-arm orthodox,India,0,1687
446,Anand Rajan,17-Apr-87,Right_Hand,Right-arm medium,India,0,1555
447,P Prasanth,22-May-85,Left_Hand,Slow left-arm orthodox,India,0,1535
448,SS Mundhe,27-Oct-88,Right_Hand,Right-arm medium,India,0,1494
449,RW Price,12-Jun-76,Right_Hand,Slow left-arm orthodox,Zimbabwea,0,1478
450,TP Sudhindra,24-Apr-84,Left_Hand,Right-arm fast,India,0,1465
451,BW Hilfenhaus,15-Mar-83,Right_Hand,Right-arm fast-medium,Australia,0,1441
452,S Badree,09-Mar-81,Right_Hand,Legbreak,West Indies,0,1415
453,P Suyal,15-Oct-89,Right_Hand,Left-arm medium,India,0,1401
454,MG Neser,29-Mar-90,Right_Hand,Right-arm medium,Australia,0,1400
455,V Shankar,26-Jan-91,Right_Hand,Right-arm medium,India,0,1396
456,K Santokie,20-Dec-84,Left_Hand,Left-arm medium,West Indies,0,1349
457,JW Hastings,04-Nov-85,Right_Hand,Right-arm fast-medium,Australia,0,1322
458,TA Boult,22-Jul-89,Right_Hand,Left-arm fast-medium,New Zealand,0,1309
459,GS Sandhu,14-Jun-93,Left_Hand,Right-arm fast-medium,Australia,0,1288
460,Mustafizur Rahman,06-Sep-95,Left_Hand,Left-arm fast-medium,Bangladesh,0,1276
461,AF Milne,13-Apr-92,Right_Hand,Right-arm fast,New Zealand,0,1269
462,Kuldeep Yadav,14-Dec-94,Left_Hand,Slow left-arm chinaman,India,0,1153
463,T Shamsi,18-Feb-90,Right_Hand,Slow left-arm chinaman,South Africa,0,1150
464,SM Boland,11-Apr-89,Right_Hand,Right-arm fast-medium,Australia,0,1107
465,DL Chahar,07-Aug-92,Right_Hand,Right-arm medium,India,0,1093
466,P Dharmani,27-Sep-74,Right_Hand,NULL,India,0,1087
467,RV Pawar,06-Sep-79,Left_Hand,Slow left-arm orthodox,India,0,1082
468,KH Devdhar,14-Dec-89,Right_Hand,NULL,India,0,1079
469,T Mishra,22-Dec-86,Right_Hand,Right-arm fast-medium,India,0,1017
470,Asad Rauf,NULL,NULL,NULL,Pakistan,1,1013
471,MR Benson,NULL,NULL,NULL,England,1,1001
472,Aleem Dar,NULL,NULL,NULL,Pakistan,1,995
473,SJ Davis,NULL,NULL,NULL,England,1,985
474,BF Bowden,NULL,NULL,NULL,New Zealand,1,975
475,IL Howell,NULL,NULL,NULL,South Africa,1,974
476,DJ Harper,NULL,NULL,NULL,Australia,1,971
477,RE Koertzen,NULL,NULL,NULL,South Africa,1,969
478,BR Doctrove,NULL,NULL,NULL,West Indies,1,897
479,AV Jayaprakash,NULL,NULL,NULL,India,1,886
480,BG Jerling,NULL,NULL,NULL,South Africa,1,880
481,M Erasmus,NULL,NULL,NULL,South Africa,1,854
482,HDPK Dharmasena,NULL,NULL,NULL,Sri Lanka,1,831
483,S Asnani,NULL,NULL,NULL,India,1,800
484,GAV Baxter,NULL,NULL,NULL,New Zealand,1,798
485,SS Hazare,NULL,NULL,NULL,India,1,785
486,K Hariharan,NULL,NULL,NULL,India,1,768
487,SL Shastri,NULL,NULL,NULL,India,1,761
488,SK Tarapore,NULL,NULL,NULL,India,1,750
489,S Ravi,NULL,NULL,NULL,India,1,739
490,SJA Taufel,NULL,NULL,NULL,Australia,1,724
491,S Das,NULL,NULL,NULL,India,1,701
492,AM Saheba,NULL,NULL,NULL,India,1,676
493,PR Reiffel,NULL,NULL,NULL,Australia,1,672
494,JD Cloete,NULL,NULL,NULL,South Africa,1,663
495,AK Chaudhary,NULL,NULL,NULL,India,1,641
496,VA Kulkarni,NULL,NULL,NULL,India,1,608
497,BNJ Oxenford,NULL,NULL,NULL,Australia,1,604
498,CK Nandan,NULL,NULL,NULL,India,1,604
499,C Shamshuddin,NULL,NULL,NULL,India,1,584
500,NJ Llong,NULL,NULL,NULL,England,1,577
501,RK Illingworth,NULL,NULL,NULL,England,1,563
502,RM Deshpande,NULL,NULL,NULL,India,1,538
503,K Srinath,NULL,NULL,NULL,India,1,531
504,SD Fry,NULL,NULL,NULL,Australia,1,527
505,CB Gaffaney,NULL,NULL,NULL,New Zealand,1,526
506,PG Pathak,NULL,NULL,NULL,India,1,519
507,Nitin Menon,NULL,NULL,NULL,India,1,514
508,K Bharatan,NULL,NULL,NULL,India,1,510
509,AY Dandekar,NULL,NULL,NULL,India,1,506
510,KN Ananthapadmanabhan,NULL,NULL,NULL,India,1,505
511,A Nand Kishore,NULL,NULL,NULL,India,1,476
512,GA Pratapkumar,NULL,NULL,NULL,India,1,459
513,RB Tiffin,NULL,NULL,NULL,Zimbabwea,1,448
514,I Shivram,NULL,NULL,NULL,India,1,443
515,SD Ranade,NULL,NULL,NULL,India,1,437
516,TH Wijewardene,NULL,NULL,NULL,Sri Lanka,1,424
517,AL Hill,NULL,NULL,NULL,New Zealand,1,423
518,RJ Tucker,NULL,NULL,NULL,Australia,1,417
